chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7]
1.0,21.0,21.0,-444.01701,0.62469239,0.21111834,4.0,15.0,0.0,458.25649,-6.6100901,0.32923991,1.0096735,0.60247984,0.53285519,0.96123732,0.74879555,-12.262749,0.036713743,0.90607214,-0.39656391,0.11540431,0.8583004,-0.44979108,-0.0039786128,-11.07692,0.086611174,588648.59,11.261758,1.1528499,0.79993557,-6.2776653,0.71977023,-5.2368606,4.8843041e-06,0.74266341,0.0018777795,0.0053169227,0.40294819,0.40294819,0.99937055,0.0002393309,1.4463075e-05,0.40320198,0.99937055,0.63776138,0.99602929,-253.55778,-11.368356,0.0,4.6739681e-06,4.6739681e-06,1.0204638e-05,1.0835965e-05,1.1223237e-05,1.1506381e-05,1.1730918e-05
1.0,22.0,22.0,-443.57388,0.95608257,0.21111834,4.0,15.0,0.0,453.83962,-6.9104923,0.91136113,0.21679164,0.51652278,0.19228092,1.0097825,1.046999,-14.236674,1.3088609,0.34043145,-0.21745096,1.033397,0.29923953,-0.077683044,0.017178753,-11.176339,0.11449713,476679.69,10.055735,0.94649214,0.20486436,-6.7129168,1.0572412,-5.5563581,1.0247143e-06,1.0961261,0.0012151147,0.0038628189,0.33939044,0.33939044,0.99979914,5.0210999e-05,1.7971566e-05,0.33945862,0.99979914,0.92525765,1.0173272,-253.87752,-12.006384,0.0,2.8786801e-06,2.8786801e-06,7.9237796e-06,8.5781886e-06,8.9857879e-06,9.2866823e-06,9.527001e-06
1.0,23.0,23.0,-445.7003,0.8881575,0.21111834,4.0,15.0,0.0,456.90744,-7.1822931,0.58666153,1.690379,0.55133436,-0.97922373,0.43592259,-0.26717521,-14.09391,0.10684723,-1.2633652,-1.1895874,0.52689517,0.28687587,0.25085351,0.045075406,-10.360078,0.093721283,112261.5,7.0802432,0.80311294,0.61349357,-6.1906128,-0.11646771,-6.8469602,6.6140687e-07,0.35400866,0.0020485711,0.0010626812,0.10942972,0.10942972,0.99968683,3.2408937e-05,1.8717131e-06,0.109464,0.99968683,1.2851218,1.0461067,-255.16383,-14.115805,0.0,8.6764839e-06,8.6764839e-06,1.7874624e-05,1.9073931e-05,1.9812549e-05,2.0353918e-05,2.0784018e-05
1.0,24.0,24.0,-446.76997,0.96025006,0.21111834,4.0,15.0,0.0,456.83113,-1.7227496,1.3553601,-0.36563732,0.40091723,0.92426109,1.0257265,1.7694255,-10.647793,0.61880854,0.77180502,-0.24551135,0.41294318,0.90476489,0.13828032,-0.37292435,-11.314092,0.086436745,5336159.9,9.8173603,1.3659358,0.23336405,-2.2183199,1.8149465,-0.032821143,3.8294907e-05,1.1366725,0.10879174,0.96771163,94.089141,94.089141,0.99992516,0.0018764505,0.0051658888,94.096183,0.99992516,1.1482974,0.68871733,-248.35757,-12.001402,0.0,3.6959866e-06,3.6959866e-06,1.2907404e-05,1.3704355e-05,1.4193162e-05,1.4550513e-05,1.4833885e-05
1.0,25.0,25.0,-446.74052,0.98474881,0.21111834,4.0,31.0,0.0,457.54749,-9.2252315,0.27073462,-0.27007045,0.65219554,0.91412203,0.47183938,1.0716674,-12.877555,0.40248075,-0.78218536,-0.59622673,0.071872407,0.57656023,-0.53625347,0.5885788,-11.092111,0.040349214,1389595.3,8.1483551,0.82267141,0.52085494,-9.2983489,0.50565486,-8.1965077,1.8647753e-06,0.574194,9.1575309e-05,0.00027561442,0.020276208,0.020276208,0.99548614,9.1373991e-05,5.6488448e-07,0.020368147,0.99548614,0.58493563,1.8014264,-256.49203,-11.090503,0.0,8.7228494e-06,8.7228494e-06,1.1126631e-05,1.1441654e-05,1.1630192e-05,1.1765882e-05,1.1872238e-05
1.0,26.0,26.0,-448.76873,0.85999233,0.21111834,4.0,31.0,0.0,456.31885,-9.4966191,0.26085293,-0.23492391,0.71297705,1.0274012,0.48148848,0.66718511,-13.002061,0.36923143,-0.7007693,-0.63908135,0.082354156,0.95129632,-0.52175922,0.60389029,-10.727971,0.049241694,1735832.9,8.1221421,0.79069435,0.50652067,-9.5578997,0.32124194,-8.5041443,1.7414254e-06,0.57078759,7.0641011e-05,0.00020262688,0.01497939,0.01497939,0.99430837,8.5329847e-05,4.1533363e-07,0.015065135,0.99430837,0.59347557,1.8292212,-256.79057,-12.912476,0.0,1.110316e-05,1.110316e-05,1.4723676e-05,1.523367e-05,1.554046e-05,1.5761959e-05,1.5935977e-05
1.0,27.0,27.0,-450.85607,0.99306803,0.21111834,4.0,15.0,0.0,461.21686,-3.4778946,1.3783296,2.0252891,0.33657272,0.76530133,0.76979498,0.82680304,-12.839488,0.38207447,1.0383512,-1.360339,0.15940146,0.71954556,-0.77303177,-0.77549325,-11.87492,0.14311055,178304.64,7.3685771,1.42277,0.05743024,-0.68637865,0.63646883,0.20766973,3.9461863e-06,0.28775599,0.50339575,1.2308066,84.172009,84.172009,0.9999838,0.00019336313,0.0011699157,84.173372,0.9999838,0.46161144,0.4604766,-248.11692,-15.345504,0.0,9.6410456e-07,9.6410456e-07,7.5233578e-06,8.3079127e-06,8.8042471e-06,9.1742827e-06,9.4719826e-06
1.0,28.0,28.0,-449.33862,0.94945936,0.21111834,4.0,15.0,0.0,465.33019,-10.334172,0.93085557,1.8142963,1.1402904,1.3300872,0.68279181,0.30868283,-12.959096,0.62291799,0.37238311,-1.6966718,1.0968924,-1.0467438,-0.40164544,0.03100229,-9.8396725,0.13769784,53228.393,7.3044919,1.0627791,0.79757277,-8.6453237,0.21076611,-6.9178719,2.9694567e-06,0.058143737,0.00017594771,0.00098993437,0.076331023,0.076331023,0.99809461,0.00014550338,2.1477939e-07,0.076476741,0.99809461,0.66921798,1.0314879,-255.23198,-15.687655,0.0,7.9523231e-06,7.9523231e-06,2.188977e-05,2.4080876e-05,2.5463183e-05,2.6491884e-05,2.7318376e-05
1.0,29.0,29.0,-451.55345,0.99197178,0.21111834,4.0,31.0,0.0,460.7702,-10.897098,0.47531248,-2.1796528,0.086358335,-1.6129202,1.0363802,-0.5637656,-12.523218,0.33393656,0.2942041,0.67564133,0.04933369,1.5881542,-0.28361098,-0.042828235,-8.8537718,0.27517103,2796588.7,9.0807461,0.85145836,0.82937882,-11.933114,-0.58427549,-12.656679,4.0170101e-06,2.1254655,6.5692301e-06,3.1862097e-06,0.00025689931,0.00025689931,0.56613261,0.0001968335,4.6581749e-08,0.00045377939,0.56613261,0.75305954,0.95807594,-259.57405,-11.25233,0.0,3.1902756e-06,3.1902756e-06,6.0542969e-06,7.2264885e-06,8.0412542e-06,8.6828144e-06,9.219299e-06
1.0,30.0,30.0,-446.37637,0.72433322,0.21111834,4.0,15.0,0.0,461.95888,-9.2984199,1.2256303,1.4244222,0.46840648,-0.27945799,0.38631214,-0.074757978,-8.2480809,0.68410871,0.49185247,-1.2439783,0.019826866,-0.29039448,0.56281312,-0.1511739,-9.6594417,0.29238502,145567.02,7.7480983,0.6665493,0.35226617,-7.5526048,-0.028879914,-7.7123847,0.00036646764,0.28658048,0.00052474149,0.00044725365,0.054893847,0.054893847,0.75350053,0.017956914,1.0084218e-06,0.07285177,0.75350053,1.7556043,0.85969818,-255.42972,-15.493043,0.0,1.1236916e-06,1.1236916e-06,9.5113848e-06,1.1647073e-05,1.3112587e-05,1.4263004e-05,1.5224445e-05
