chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7],conc_expected_log10[8],conc_expected_log10[9],conc_expected_log10[10],conc_expected_log10[11],conc_expected_log10[12],conc_expected_log10[13],conc_expected_log10[14],conc_expected_log10[15]
1.0,23.0,23.0,-287.30478,0.99718422,0.19339555,4.0,15.0,0.0,293.07573,-6.6874048,1.7516451,-0.25439901,0.60412039,0.28191672,1.7046798,1.5711341,-10.973953,0.57534092,-1.4265647,-0.53041708,0.042144336,-0.99604256,-0.84652192,0.48226428,-5.4602565,0.70964227,43322.154,7.1825793,0.02331896,0.63854613,-7.1330216,2.6782807,-4.2844293,7.5443311e-06,0.56417283,0.00079830357,0.013781484,0.92355199,0.92355199,0.99251459,0.0015767652,0.005388539,0.9305173,0.99251459,0.4289041,1.6197378,-252.61693,0.0,-17.585856,7.0426655,7.0426655,7.1423648,7.1493843,7.1534905,7.1564039,7.1586637,7.1498785,7.1514398,7.1514419,7.1514447,7.1514486,7.1514543,7.1514624,7.1514739
1.0,24.0,24.0,-284.14347,0.98493434,0.19339555,4.0,31.0,0.0,296.92623,-6.3686754,0.1929964,0.97789904,0.36096954,1.1895843,0.50748027,-0.23236919,-11.290668,0.31299184,-0.77284329,-0.52147055,0.45327143,-1.3217121,-0.051257351,-0.33464013,-5.4726184,1.0521197,1999859.0,7.0794165,0.072821871,0.60462593,-6.1799444,-0.11792278,-5.8684635,9.8055563e-06,0.32609553,0.002070543,0.0028272141,0.25134339,0.25134339,0.98860013,0.0020493613,0.00084896226,0.25424171,0.98860013,0.95003415,0.71559556,-254.18876,0.0,-18.736471,6.6424852,6.6424852,6.9127261,6.9346446,6.9474669,6.9565647,6.9636215,6.9361877,6.9410628,6.9410883,6.941115,6.9411436,6.9411752,6.9412113,6.9412534
1.0,25.0,25.0,-284.8226,0.79726414,0.19339555,5.0,31.0,0.0,296.32814,-6.293816,0.24316024,0.89122478,0.338295,0.91742599,0.41031868,0.0063570052,-11.787052,0.34048764,-0.87536696,-0.47927592,0.51063164,-1.3253464,0.073336474,-0.26222184,-6.0028497,0.61254924,3362626.1,7.1058352,0.059261004,0.60365341,-6.0771055,0.002608398,-5.7641365,5.6429517e-06,0.31473014,0.0022948093,0.0031381039,0.29559648,0.29559648,0.99280564,0.0011793769,0.0009626619,0.29773852,0.99280564,1.0760926,0.76934033,-254.0868,0.0,-18.289282,6.7502692,6.7502692,6.9743339,6.9921712,7.0026058,7.0100094,7.0157522,6.9934269,6.9973942,6.9974047,6.9974162,6.9974291,6.9974445,6.9974634,6.997487
1.0,26.0,26.0,-282.37256,0.84430911,0.19339555,4.0,31.0,0.0,296.59473,-5.8938419,0.75396956,1.2122397,0.24527704,0.28474334,1.6004585,0.27768839,-13.095701,0.8509425,-0.33898514,-0.37186353,0.32962466,0.20852311,0.11910389,-0.35499539,-7.6927035,1.2834654,673105.94,7.4430489,0.067575002,0.62933832,-4.97985,0.44442876,-4.4655802,1.5393376e-06,0.73850369,0.0068750937,0.011498022,1.1074027,1.1074027,0.99213692,0.00032172156,0.0084548858,1.1161793,0.99213692,1.1264869,0.70117667,-252.8005,0.0,-20.033881,7.0375988,7.0375988,7.3318311,7.3521725,7.3640717,7.3725143,7.379063,7.3536047,7.3581293,7.3581321,7.3581373,7.3581466,7.3581626,7.3581879,7.3582262
1.0,27.0,27.0,-288.08349,0.6772734,0.19339555,5.0,31.0,0.0,294.77607,-3.64797,0.39683631,0.26176833,0.27193778,0.22929704,0.93247031,0.22381583,-11.367978,0.078077621,0.13593033,-0.66327608,0.16725401,-0.45546449,-0.14613806,0.35495976,-6.1125168,0.14937061,4475.3985,6.9884412,0.275993,1.1107106,-3.5440908,0.20870161,-3.2730347,1.1683126e-05,0.47737433,0.028894881,0.037891264,3.2317312,3.2317312,0.99434087,0.0024417734,0.015951086,3.2501241,0.99434087,0.8640384,1.4261233,-251.63238,0.0,-21.935566,5.3324832,5.3324832,6.6625825,6.7456638,6.7942635,6.8287456,6.8554921,6.7515127,6.7699913,6.7700052,6.7700254,6.7700566,6.7701049,6.7701782,6.7702852
1.0,28.0,28.0,-284.32604,0.47536886,0.19339555,5.0,31.0,0.0,298.76652,-7.1617903,1.343671,0.2128187,0.76661429,-0.034234145,0.21385905,0.75847984,-16.613177,0.35661974,1.1388389,-0.66337508,0.36422414,-1.3171883,-0.26082601,0.35002503,-8.3908193,0.92744975,145450.17,7.2968021,0.13158486,0.85269519,-6.8758319,0.16220778,-6.7398685,9.1489242e-08,0.31882056,0.0010324384,0.0011828027,0.096229782,0.096229782,0.99651751,1.9121252e-05,0.00031716938,0.096566072,0.99651751,0.77041496,1.4191031,-255.05893,0.0,-18.043814,6.5072929,6.5072929,6.9406485,6.980245,7.0034111,7.0198487,7.0325992,6.9830328,6.9918406,6.9918433,6.991848,6.9918563,6.9918699,6.9918914,6.9919236
1.0,29.0,29.0,-283.72995,0.97996685,0.19339555,4.0,31.0,0.0,293.83181,-6.4656624,0.30356315,-1.4023663,0.23588957,-0.69699895,1.1824366,-0.84066124,-9.9316702,0.22997278,-0.44543394,0.25737171,0.50962826,-0.59520537,-0.42541096,-0.21539146,-7.7250675,0.93632058,11489.492,8.2244849,0.36131844,0.94234897,-6.8913691,-0.99402859,-8.0498125,4.3877544e-05,0.95507848,0.0010165211,0.00031916176,0.024398975,0.024398975,0.72117335,0.0091704067,0.00026294842,0.03383233,0.72117335,0.65350116,0.80622577,-256.2284,0.0,-20.453653,6.0565743,6.0565743,7.0446546,7.1532777,7.2168545,7.2619731,7.2969745,7.1609292,7.1851035,7.1902157,7.1951823,7.2000227,7.2047582,7.2094115,7.2140055
1.0,30.0,30.0,-289.21749,0.82472926,0.19339555,4.0,15.0,0.0,301.38364,-9.526898,1.6428449,0.52243186,0.36797528,1.3067746,0.17013244,0.13167259,-16.049661,0.90392081,1.1945389,-0.55024394,0.32115632,-0.62326996,1.3397374,-0.13644106,-6.0692724,0.94536031,37711.09,8.1809087,0.47314605,1.0022608,-8.6686235,0.022401779,-8.165361,3.1525224e-07,0.47217244,0.00017189555,0.00028433399,0.059527511,0.059527511,0.99404641,6.5887719e-05,0.00029063735,0.059884036,0.99404641,3.8180406,0.87245774,-256.46772,0.0,-22.481713,5.3420324,5.3420324,6.801684,6.9440306,7.0273193,7.0864196,7.132264,6.9540537,6.985721,6.9857516,6.9857929,6.9858528,6.9859417,6.9860729,6.9862614
1.0,31.0,31.0,-283.43563,0.96209007,0.19339555,4.0,15.0,0.0,300.67045,-8.0305969,0.049118384,0.036327809,0.35038925,-1.8826117,1.0752009,0.08990489,-11.79358,0.23122951,-1.1931596,-0.66138906,0.37952541,-0.61775268,0.090052768,0.033148103,-6.3130324,0.94348967,300221.85,8.278315,0.29964975,0.90726433,-8.0288125,0.096665817,-8.5917936,5.7318386e-06,0.40826374,0.00032593503,0.00018562286,0.017626329,0.017626329,0.93261468,0.0011979543,7.5621943e-05,0.018899905,0.93261468,1.094232,1.0337036,-256.8547,0.0,-20.116176,6.4804164,6.4804164,7.2487238,7.3387497,7.3914561,7.4288644,7.4578858,7.3450914,7.3651295,7.3659638,7.3667986,7.367638,7.3684876,7.3693539,7.3702448
1.0,32.0,32.0,-284.41115,0.90843324,0.19339555,5.0,31.0,0.0,291.65798,-3.4630614,1.9139324,0.28188316,0.67683819,0.31668526,0.52589263,0.59487409,-11.171744,0.22211972,-1.0909163,0.23115943,0.2680738,-1.5872997,0.19106502,0.04954787,-8.2241398,0.44286939,75892.323,7.1687025,0.043239534,0.82482622,-2.9235561,0.3128399,-2.3963715,1.1039199e-05,0.82336636,0.053742234,0.091047719,9.0904412,9.0904412,0.99131021,0.0023071927,0.07737926,9.1701277,0.99131021,1.2105382,1.0507959,-250.82285,0.0,-17.496822,6.9092653,6.9092653,7.1370692,7.1500856,7.1576997,7.163102,7.1672923,7.151002,7.1538973,7.1538991,7.1539027,7.1539093,7.1539205,7.1539385,7.1539657
