theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,before_share_median,campaign_positives_p10,campaign_positives_p90,attack_q10,attack_q50,attack_q90,p_attack_ge_0p10,p_attack_le_0p01,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok
10000000000.0,9.0,0.775,2484.0,3494.8,0.9322388059701493,244.9,609.4000000000001,0.7765561843168958,0.948935596874158,0.9561843168957154,0.975,0.025,0.95,False,False,False
10000000000.0,11.0,0.9,2764.4,3465.6,0.9409841631959639,256.0,496.20000000000005,0.9104554028563729,0.9514955537590946,0.9576933441120992,1.0,0.0,0.975,True,False,False
10000000000.0,13.0,0.925,2961.7,3464.3,0.9419050427602477,246.2,433.1,0.9361897062786312,0.9529776340609,0.9586095392077607,0.975,0.025,0.95,True,False,False
31622776601.683792,0.0,0.0,0.0,3558.1,0.7656029370234397,0.0,441.3000000000002,0.0,0.9188897871193749,0.9638911344651038,0.625,0.375,0.625,False,False,False
31622776601.683792,3.0,0.075,0.0,3535.3,0.8547080189997206,0.0,426.20000000000005,0.0,0.9535165723524657,0.963729452977634,0.825,0.175,0.825,False,False,False
31622776601.683792,5.0,0.45,263.7000000000001,3547.2,0.852867542173034,134.10000000000005,474.9000000000001,0.36620856911883604,0.9567502021018593,0.9639719752088386,0.9,0.1,0.9,False,False,False
31622776601.683792,7.0,0.675,2641.2,3540.1,0.9516407599309153,210.0,612.5,0.868229587712207,0.9585017515494476,0.9647264888170305,0.975,0.025,0.925,False,False,False
31622776601.683792,9.0,0.775,2613.3,3526.4,0.965496368038741,223.5,636.1,0.9501751549447588,0.9598490972783615,0.9642144974400431,0.975,0.025,0.975,False,False,False
31622776601.683792,11.0,0.9,2808.5,3532.7,0.9704632734268581,224.7,608.7,0.9541902452169226,0.9610617084343842,0.9652654271085961,1.0,0.0,1.0,True,False,False
31622776601.683792,13.0,0.925,3054.3,3513.9,0.9703729747295431,295.5,553.1,0.9551064403125843,0.9610617084343842,0.966316356777149,1.0,0.0,1.0,True,False,False
100000000000.0,0.0,0.0,0.0,3577.0,0.9222171442103879,0.0,441.5000000000001,0.0,0.9620048504446241,0.9701967124764215,0.65,0.35,0.65,False,False,False
100000000000.0,3.0,0.075,0.0,3579.3,0.9443045060173524,0.0,506.70000000000005,0.0,0.9664510913500404,0.9714632174616007,0.825,0.175,0.825,False,False,False
100000000000.0,5.0,0.45,2612.700000000001,3574.9,0.9506767474211117,169.20000000000007,626.5,0.8563459983831855,0.9677984370789545,0.9728644570196713,0.9,0.1,0.9,False,False,False
100000000000.0,7.0,0.675,2767.3,3568.0,0.9754711337122345,199.8,713.0,0.9613581244947453,0.9680679062247373,0.972271624898949,0.975,0.025,0.975,False,False,False
100000000000.0,9.0,0.775,2743.9,3574.1,0.9826880705067674,212.5,749.3000000000001,0.9635677714901644,0.968606844516303,0.972271624898949,0.975,0.025,0.975,False,False,True
100000000000.0,11.0,0.9,2865.4,3556.7,0.9833977599365646,226.1,760.7,0.9659929938022097,0.9700889248181084,0.9736459175424413,1.0,0.0,1.0,True,False,True
100000000000.0,13.0,0.9,2943.0,3512.3,0.9835994861176888,277.8,737.3,0.9651845863648613,0.9690110482349771,0.9725410940447319,1.0,0.0,1.0,True,False,True
316227766016.83795,0.0,0.0,0.0,3589.1,0.9600528994279747,0.0,508.90000000000003,0.0,0.9696847210994342,0.9774184855834007,0.65,0.35,0.65,False,False,False
316227766016.83795,3.0,0.075,0.0,3590.5,0.9734027175484244,0.0,706.2,0.0,0.9741309620048505,0.9768795472918351,0.825,0.175,0.825,False,False,False
316227766016.83795,5.0,0.45,2613.6000000000013,3585.1,0.9768700670124241,173.70000000000007,757.5,0.8718674211802753,0.9749393694421988,0.9779574238749663,0.9,0.1,0.9,False,False,False
316227766016.83795,7.0,0.675,2911.6,3596.5,0.9867313915857605,222.4,832.5,0.9725141471301536,0.9748046348693075,0.9790083535435192,0.975,0.025,0.975,False,False,False
316227766016.83795,9.0,0.775,2870.3,3542.1,0.9870290302655961,294.20000000000005,847.3,0.9706009161950957,0.9753435731608731,0.9787388843977365,0.975,0.025,0.975,False,False,True
316227766016.83795,11.0,0.9,2922.6,3395.4,0.9880403610286106,474.2,845.1,0.9727566693613582,0.9757477768795473,0.9787658313123148,1.0,0.0,1.0,True,False,True
316227766016.83795,13.0,0.925,2970.9,3473.4,0.9893210508056018,438.90000000000003,829.1,0.9725141471301536,0.9748046348693075,0.9773915386688224,1.0,0.0,1.0,True,False,True
1000000000000.0,0.0,0.0,0.0,3604.5,0.9793301839815175,0.0,624.0000000000001,0.0,0.9781729991915926,0.9819455672325519,0.65,0.35,0.65,False,False,False
1000000000000.0,3.0,0.075,0.0,3579.4,0.9833187006145742,0.0,858.0,0.0,0.9788466720560496,0.9825653462678523,0.825,0.175,0.825,False,False,False
1000000000000.0,5.0,0.45,2681.1000000000013,3518.0,0.9880682095024856,179.10000000000008,862.8,0.875020210185934,0.9797898140662894,0.9828078684990569,0.9,0.1,0.9,False,False,True
1000000000000.0,7.0,0.675,3069.2,3572.8,0.9920735573874445,267.8,928.4,0.9762597682565346,0.980328752357855,0.9830234438156831,0.975,0.025,0.975,False,False,True
1000000000000.0,9.0,0.775,3035.6,3509.9,0.9924433249370277,390.9,920.2,0.9773645917542442,0.981002425222312,0.9830503907302613,0.975,0.025,0.975,False,False,True
1000000000000.0,11.0,0.9,3046.7,3300.3,0.9929404556557004,693.6,924.4,0.9776340609000269,0.9807329560765292,0.9831312314739962,1.0,0.0,1.0,True,False,False
1000000000000.0,13.0,0.925,3071.6,3292.1000000000004,0.9915056682298061,702.1,915.8,0.9773645917542442,0.9799245486391808,0.9819725141471302,1.0,0.0,1.0,True,False,False
