chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7],conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7]
1.0,23.0,23.0,-242882.34,0.62084567,0.20814767,5.0,31.0,0.0,242892.03,-6.7445029,0.00012810987,-0.033991074,0.85555314,-0.90359478,0.50017833,0.78887199,-10.339752,0.38544831,-0.038341409,-0.40503454,0.0041325725,-0.52525932,-0.0018692738,-0.52935244,-0.015709765,0.00032316843,110486.89,8.4627901,0.19361061,0.3942833,-6.7445072,0.39457667,-7.1230039,3.1848185e-05,0.6655076,0.0011773287,0.00080634095,0.07331378,0.07331378,0.97912612,0.001560561,2.4068419e-06,0.074876748,0.97912612,0.99813247,0.58898625,-255.4003,-45.246516,-4.0263905,0.49495655,0.49495655,0.49554889,0.49560486,0.49563761,0.49566085,0.49567887,7.3011265,7.3011265,7.9176642,7.9759193,8.0100032,8.0341881,8.0529484
1.0,24.0,24.0,-242882.01,0.18165833,0.20814767,5.0,31.0,0.0,242890.12,-6.6474585,7.8680651e-05,-0.31063164,0.58218493,-1.2907922,1.4140006,0.43811825,-9.8489086,0.22626629,0.43622093,0.13425632,0.0055117076,-0.49711694,0.11816468,-0.16830003,-0.01517841,0.0005541876,80198.359,8.1984897,0.17513647,0.44474346,-6.6474829,0.61949948,-6.7794632,5.8282628e-05,1.1405566,0.0012972833,0.001136885,0.10944569,0.10944569,0.97451613,0.0028558488,6.1867712e-06,0.11230772,0.97451613,1.1254294,0.84510024,-255.04756,-45.594065,-3.5566114,0.49429155,0.49429155,0.49536345,0.49545944,0.49551561,0.49555545,0.49558637,7.1476709,7.1476709,7.7361958,7.7889005,7.819735,7.8416136,7.8585847
1.0,25.0,25.0,-242888.59,0.095196072,0.20814767,4.0,31.0,0.0,242896.91,-8.1003243,2.739078e-05,-1.4137765,0.71070786,-0.55896776,0.6439228,1.4313909,-9.9157147,0.064132586,1.1587824,0.067556133,0.0090083564,0.50922085,0.43332681,0.0029586279,-0.0038990293,0.00089008598,54005.116,8.2935181,0.073305256,0.61785361,-8.1003631,0.92170527,-7.5759206,5.320283e-05,1.0748094,0.00030342895,0.00051264827,0.058329104,0.058329104,0.95716875,0.0026069387,3.1634957e-06,0.060939206,0.95716875,1.5423802,1.002963,-255.78992,-46.314462,-4.755809,0.49595108,0.49595108,0.49753683,0.49769098,0.49778117,0.49784517,0.49789481,7.8536865,7.8536865,8.0805683,8.1026226,8.1155267,8.1246833,8.1317861
1.0,26.0,26.0,-242897.65,0.19725905,0.20814767,4.0,31.0,0.0,242912.89,-6.6753829,5.5013769e-05,0.37210256,0.081247234,-0.20826937,0.5095899,2.6157463,-9.510117,0.063946469,1.3416204,0.02023518,0.0065194153,0.88525027,0.98463699,-0.31327338,0.0021249275,0.0027356754,123815.95,8.5294481,0.33059114,0.72426937,-6.6753625,1.3329579,-5.3593259,8.0736073e-05,1.0263476,0.0012616152,0.0047040762,0.75936623,0.75936623,0.99476799,0.0039560676,3.7841118e-05,0.76336013,0.99476799,2.67684,0.73105003,-253.66403,-53.411249,-8.1246534,0.49108349,0.49108349,0.49768489,0.49815892,0.49843621,0.49863296,0.49878557,6.5459012,6.5459012,7.9319177,8.031431,8.0896436,8.1309466,8.1629842
1.0,27.0,27.0,-242887.11,0.75180899,0.20814767,4.0,15.0,0.0,242906.27,-7.8616548,0.0004739643,-2.0746821,1.1357382,0.15207243,0.031329143,-0.9019089,-12.688314,0.024568358,0.21593121,-1.2041885,0.044966107,0.29101909,-0.038111984,0.22819176,-0.02042708,4.907244e-05,26490.805,8.2265498,0.13178622,0.33064611,-7.8626382,-0.028256033,-7.7181797,3.1034097e-06,0.30388605,0.00038485722,0.00044466929,0.039766515,0.039766515,0.99617595,0.00015206707,5.8593224e-07,0.039919168,0.99617595,0.96260514,1.2563262,-256.0213,-45.511029,-1.7918624,0.49472394,0.49472394,0.49480617,0.49481467,0.49481964,0.49482317,0.4948259,7.4358325,7.4358325,7.8195296,7.8591661,7.8823608,7.8988202,7.9115881
1.0,28.0,28.0,-242891.09,0.9023601,0.20814767,4.0,15.0,0.0,242899.97,-6.4849165,0.0006731137,1.2366363,0.03397661,0.72865935,0.14129118,1.525844,-11.974333,1.5636427,0.46682466,0.39390138,0.041880549,0.57929145,-1.3486238,-0.26863815,-0.017796822,3.1704273e-05,1134688.3,7.8238426,0.044457563,0.27657561,-6.4840841,0.21558829,-6.2437384,1.308052e-05,1.5191674,0.0015275592,0.0019425797,0.11636652,0.11636652,0.99444921,0.00064094549,8.5857993e-06,0.11701605,0.99444921,0.25959727,0.76441981,-254.55699,-45.397995,0.68306491,0.49544142,0.49544142,0.49550307,0.49550856,0.49551177,0.49551405,0.49551582,7.5570972,7.5570972,7.7072838,7.7206628,7.72849,7.7340438,7.7383519
1.0,29.0,29.0,-242884.04,0.85939951,0.20814767,4.0,15.0,0.0,242904.49,-10.628338,0.011406154,0.6685141,0.23886718,-0.49176163,1.4660562,1.0809031,-10.13931,0.0352311,-0.33187663,0.80752572,0.06325005,1.6955696,-0.026997883,-0.046714821,-0.017283762,9.093553e-05,13481.157,8.1290224,0.074053767,0.21972682,-10.620713,1.5846647,-9.1535136,3.9036942e-05,2.4962025,2.4405244e-05,0.00010584724,0.0095136835,0.0095136835,0.8324983,0.0019128101,1.377699e-06,0.011427871,0.8324983,0.9733633,0.95435952,-257.12331,-46.172333,-0.9980264,0.49536511,0.49536511,0.49548914,0.49550485,0.49551405,0.49552058,0.49552565,7.6846998,7.6846998,7.8601758,7.8823995,7.8954168,7.9046575,7.9118274
1.0,30.0,30.0,-242880.23,0.19518314,0.20814767,4.0,15.0,0.0,242898.0,-8.7241098,0.0080805542,-0.16420906,0.17229634,-2.2188506,0.26869496,-1.0899407,-12.861073,0.20163351,1.205177,-1.253069,0.78605351,-0.39775846,-0.60751163,0.10860128,-0.011266811,0.00052809068,318372.86,7.6797693,0.038461945,0.2645018,-8.7254367,-0.29286157,-9.4005981,3.3116327e-06,0.20893576,0.00016240186,8.2674603e-05,0.0059424515,0.0059424515,0.97340911,0.00016227,6.1608433e-08,0.0061047831,0.97340911,0.54470461,1.1147178,-257.61908,-45.584466,-0.056362592,0.49535947,0.49535947,0.49599749,0.49608847,0.49614182,0.49617971,0.49620911,7.4489976,7.4489976,7.529727,7.5412385,7.5479891,7.5527833,7.556504
1.0,31.0,31.0,-242879.98,0.97951378,0.20814767,4.0,15.0,0.0,242888.88,-8.7947758,0.010128186,-0.058281801,0.19560086,-1.8444583,0.3363958,-1.3155391,-12.494963,0.22504827,1.2341673,-1.3639039,0.66420831,-0.26256154,-0.57521271,0.076938903,-0.012715738,0.00053298564,394358.27,7.6644718,0.049693141,0.30665367,-8.7953661,-0.44254184,-9.5986856,4.9445925e-06,0.21474599,0.00015143318,6.7817819e-05,0.0049255117,0.0049255117,0.95310649,0.00024228503,5.3603359e-08,0.0051678504,0.95310649,0.56258519,1.0799761,-257.77467,-45.712318,-1.3697785,0.49498037,0.49498037,0.49560228,0.49569401,0.49574782,0.49578604,0.49581571,7.366313,7.366313,7.4670513,7.4819088,7.4906254,7.496817,7.5016225
1.0,32.0,32.0,-242881.19,0.98123115,0.20814767,4.0,15.0,0.0,242887.86,-9.5668598,0.012244052,-0.17579694,0.12592695,-1.64003,0.36392478,-1.2544396,-11.586625,0.21807184,1.5380831,-1.5453525,0.70168377,-0.063836363,-0.82505594,0.19131353,-0.014400507,0.00035010145,733064.99,7.7829484,0.019940538,0.27260636,-9.5690123,-0.45652167,-10.232058,1.2991538e-05,0.20389596,6.986035e-05,3.5997612e-05,0.0024264132,0.0024264132,0.79216143,0.00063658536,3.0165945e-08,0.0030630288,0.79216143,0.43821048,1.210839,-258.13513,-45.614633,1.2993506,0.49519081,0.49519081,0.49555412,0.49561409,0.49564934,0.49567441,0.49569386,7.6633051,7.6633051,7.6992548,7.7051891,7.7086775,7.7111573,7.7130829
